
Место	Название фильма	Год	Режиссёр	Жанры по версии IMDb
44	Человек-паук: Паутина вселенных	2023	Жуакин Душ Сантуш[англ.], Кэмп Пауэрс[англ.], Джастин Томпсон	компьютерная анимация, супергеройский фильм, мистический фильм, подростковый приключенческий фильм, фильм о городском приключении, боевик, приключение, мультфильм, семейный фильм, фэнтезийный фильм
45	Касабланка	1942	Майкл Кёртиц	драма, романтический фильм, военный фильм
46	Подозрительные лица	1995	Брайан Сингер	гангстерский фильм, фильм-ограбление, психологическая драма, психологический триллер, мистический триллер, фильм про расследование, детектив, драма, фильм-тайна, триллер
47	1+1	2011	Оливье Накаш, Эрик Толедано	докудрама, кинокомедия, драма
48	Новый кинотеатр «Парадизо»	1988	Джузеппе Торнаторе	фильм про взросление, драма, романтический фильм
49	Чужой	1979	Ридли Скотт	киберпанк, фильм о монстрах, фантастический фильм о космосе, хоррор, научная фантастика
50	Новые времена	1936	Чарли Чаплин	буффонада, кинокомедия, драма, романтический фильм
51	Окно во двор	1954	Альфред Хичкок	мистический триллер, драма, фильм-тайна, триллер
52	Однажды на Диком Западе	1968	Серджо Леоне	фильм о приключениях в пустыне, спагетти-вестерн, вестерн-киноэпопея, драма, вестерн
53	Джанго освобождённый	2012	Квентин Тарантино	чёрная комедия, эпический фильм, историческая драма, вестерн-киноэпопея, кинокомедия, драма, вестерн
54	Огни большого города	1931	Чарли Чаплин	оптимистичный романтический фильм, романтическая комедия, буффонада, кинокомедия, драма, романтический фильм
55	Апокалипсис сегодня	1979	Фрэнсис Форд Коппола	приключенческая киноэпопея, эпический фильм, психологическая драма, фильм про поиск, киноэпопея о войне, драма, фильм-тайна, военный фильм
56	Дюна: Часть вторая	2024	Дени Вильнёв	эпический боевик, фильм о приключениях в пустыне, эпический фильм, научно-фантастическая киноэпопея, фантастический фильм о космосе, боевик, приключение, драма, научная фантастика
57	ВАЛЛ-И	2008	Эндрю Стэнтон	приключенческая киноэпопея, фильм об искусственном интеллекте, компьютерная анимация, антиутопия, фантастический фильм о космосе, приключение, мультфильм, семейный фильм, научная фантастика
58	Помни	2000	Кристофер Нолан	психологический триллер, мистический триллер, фильм-тайна, триллер
59	Индиана Джонс: В поисках утраченного ковчега	1981	Стивен Спилберг	приключенческая киноэпопея, фильм о приключениях в пустыне, фильм о путешествиях, фильм про поиск, боевик, приключение
60	Жизнь других	2006	Флориан Хенкель фон Доннерсмарк	политический триллер, психологическая драма, шпионский фильм, драма, фильм-тайна, триллер
61	Мстители: Война бесконечности	2018	Братья Руссо	фантастический фильм о космосе, супергеройский фильм, боевик, приключение, научная фантастика
62	Бульвар Сансет	1950	Билли Уайлдер	нуар, психологическая драма, фильм про шоу-бизнес, фильм-трагедия, драма
63	Человек-паук: Через вселенные	2018	Боб Персичетти	компьютерная анимация, супергеройский фильм, мистический фильм, подростковый приключенческий фильм, фильм о городском приключении, боевик, приключение, мультфильм, кинокомедия, семейный фильм
64	Свидетель обвинения	1957	Билли Уайлдер	юридическая драма, юридический триллер, фильм про расследование, детектив, драма, фильм-тайна, триллер
65	Тропы славы	1957	Стэнли Кубрик	эпический фильм, киноэпопея о войне, драма, военный фильм
66	Сияние	1980	Стэнли Кубрик	психологическая драма, психологический хоррор, фильм ужасов о сверхъестественном, драма, хоррор
67	Великий диктатор	1940	Чарли Чаплин	кинопародия, сатирический фильм, буффонада, кинокомедия, драма, военный фильм
68	12-я неудача[англ.]	2023	Видху Винод Чопра[англ.]	докудрама, байопик, драма
69	Чужие	1986	Джеймс Кэмерон	фильм о вторжении пришельцев, киберпанк, фантастический фильм о космосе, боевик, приключение, научная фантастика, триллер
70	Бесславные ублюдки	2009	Квентин Тарантино	чёрная комедия, историческая драма, приключение, драма, военный фильм
71	Тёмный рыцарь: Возрождение легенды	2012	Кристофер Нолан	эпический боевик, эпический фильм, супергеройский фильм, боевик, драма, триллер
72	Тайна Коко	2017	Ли Анкрич, Эдриан Молина[англ.]	компьютерная анимация, мистический фильм, приключение, мультфильм, драма, семейный фильм, фэнтезийный фильм, музыкальный фильм, фильм-тайна
73	Амадей	1984	Милош Форман	костюмированная драма, эпический фильм, историческая драма, фильм-трагедия, байопик, драма, музыкальный фильм
74	История игрушек	1995	Джон Лассетер	приятельская комедия, компьютерная анимация, мистический фильм, фильм о городском приключении, приключение, мультфильм, кинокомедия, семейный фильм, фэнтезийный фильм
75	Мстители: Финал	2019	Братья Руссо	фантастический фильм о космосе, супергеройский фильм, фильм о путешествиях во времени, фильм-трагедия, боевик, приключение, драма, научная фантастика
76	Умница Уилл Хантинг	1997	Гас Ван Сент	фильм про взросление, психологическая драма, драма, романтический фильм
77	Олдбой	2003	Пак Чхан Ук	чёрная комедия, фильм о войне-одиночке, психологический триллер, боевик, драма, фильм-тайна, триллер
78	Доктор Стрейнджлав, или Как я перестал бояться и полюбил бомбу	1964	Стэнли Кубрик	чёрная комедия, фарс, политическая драма, сатирический фильм, кинокомедия, военный фильм
79	Подводная лодка	1981	Вольфганг Петерсен	киноэпопея о войне, драма, военный фильм
80	Красота по-американски	1999	Сэм Мендес	психологическая драма, фильм-трагедия, драма
81	Храброе сердце	1995	Мел Гибсон	костюмированная драма, эпический фильм, историческая драма, киноэпопея о войне, байопик, драма, военный фильм
82	Принцесса Мононоке	1997	Хаяо Миядзаки	эпический боевик, взрослая анимация, приключенческая киноэпопея, аниме, тёмное фэнтези, фэнтезийная киноэпопея, рисованная анимация, фильм про поиск, приключение, мультфильм
83	Твоё имя	2016	Макото Синкай	аниме, сёдзё, мультфильм, драма, фэнтезийный фильм, романтический фильм
84	Рай и ад	1963	Акира Куросава	полицейский процедурал, детектив, драма, фильм-тайна, триллер
85	3 идиота	2009	Раджкумар Хирани	фильм про взросление, кинокомедия, драма
86	Джокер	2019	Тодд Филлипс	психологическая драма, психологический триллер, фильм-трагедия, детектив, драма, триллер
87	Однажды в Америке	1984	Серджо Леоне	чёрная комедия, эпический фильм, гангстерский фильм, историческая драма, детектив, драма
88	Возмутительный класс не прошёл экзамен[англ.]	1975	Эртем Эгилмез	сатирический фильм, кинокомедия
89	Капернаум	2018	Надин Лабаки	драма
90	Поющие под дождём	1952	Стэнли Донен, Джин Келли	классический мюзикл, оптимистичный романтический фильм, мюзикл с хитами[англ.], романтическая комедия, кинокомедия, мюзикл, романтический фильм
91	Иди и смотри	1985	Элем Климов	эпический фильм, историческая драма, фильм-трагедия, киноэпопея о войне, драма, триллер, военный фильм
92	Реквием по мечте	2000	Даррен Аронофски	психологическая драма, фильм-трагедия, драма
93	История игрушек: Большой побег	2010	Ли Анкрич	компьютерная анимация, мистический фильм, фильм о городском приключении, приключение, мультфильм, кинокомедия, семейный фильм, фэнтезийный фильм
94	Звёздные войны. Эпизод VI: Возвращение джедая	1983	Ричард Маркуанд	эпический боевик, приключенческая киноэпопея, фэнтезийная киноэпопея, фильм про поиск, научно-фантастическая киноэпопея, фантастический фильм о космосе, «меч и колдовство», боевик, приключение, фэнтезийный фильм
95	Охота	2012	Томас Винтерберг	психологическая драма, фильм-трагедия, драма
96	Жить	1952	Акира Куросава	психологическая драма, фильм-трагедия, драма
97	Вечное сияние чистого разума	2004	Мишель Гондри	чёрная мелодрама, психологическая драма, драма, романтический фильм, научная фантастика
98	Космическая одиссея 2001 года	1968	Стэнли Кубрик	приключенческая киноэпопея, фильм об искусственном интеллекте, научно-фантастическая киноэпопея, фантастический фильм о космосе, приключение, научная фантастика
99	Бешеные псы	1992	Квентин Тарантино	гангстерский фильм, фильм-ограбление, детектив, триллер
100	Пожары	2010	Дени Вильнёв	мистический триллер, драма, фильм-тайна, военный фильм
101	Квартира	1960	Билли Уайлдер	фарс, комедия о празднике, романтический фильм о празднике, романтическая комедия, кинокомедия, драма, фильм о празднике, романтический фильм
102	Лоуренс Аравийский	1962	Дэвид Лин	приключенческая киноэпопея, фильм о приключениях в пустыне, киноэпопея о войне, приключение, байопик, драма, военный фильм
103	Лицо со шрамом	1983	Брайан де Пальма	фильм о наркопреступлении, эпический фильм, гангстерский фильм, фильм-трагедия, детектив, драма
104	Двойная страховка	1944	Билли Уайлдер	нуар, крутой детектив, детектив, драма, фильм-тайна, триллер
105	Схватка	1995	Майкл Манн	полицейская драма, эпический фильм, гангстерский фильм, фильм-ограбление, боевик, детектив, драма
106	К северу через северо-запад	1959	Альфред Хичкок	шпионский фильм, боевик, приключение, фильм-тайна, триллер
107	Вверх	2009	Пит Доктер	фильм про взросление, компьютерная анимация, фильм о путешествиях, приключение, мультфильм, кинокомедия, драма, семейный фильм
108	Гражданин Кейн	1941	Орсон Уэллс	эпический фильм, фильм-трагедия, драма, фильм-тайна
109	М	1931	Фриц Ланг	психологический триллер, фильм о серийном убийце[нем.], мистический триллер, детектив, фильм-тайна, триллер
110	Цельнометаллическая оболочка	1987	Стэнли Кубрик	историческая драма, драма, военный фильм
111	Головокружение	1958	Альфред Хичкок	психологический триллер, мистический триллер, фильм-тайна, романтический фильм, триллер
112	Амели	2001	Жан-Пьер Жене	оптимистичный романтический фильм, причудливая комедия, романтическая комедия, кинокомедия, романтический фильм
113	Развод Надера и Симин	2011	Асгар Фархади	юридическая драма, психологическая драма, драма
114	Убить пересмешника	1962	Роберт Маллиган	юридическая драма, историческая драма, детектив, драма
115	Заводной апельсин	1971	Стэнли Кубрик	чёрная комедия, антиутопия, детектив, научная фантастика
116	Звёздочки на земле	2007	Аамир Хан	драма, семейный фильм
117	Крепкий орешек	1988	Джон Мактирнан	фильм о войне-одиночке, боевик, фильм о празднике, триллер
118	Афера	1973	Джордж Рой Хилл	капер-фильм[англ.], кинокомедия, детектив, драма
119	Индиана Джонс и последний крестовый поход	1989	Стивен Спилберг	приключенческая киноэпопея, фильм о приключениях в пустыне, фильм о путешествиях, фильм про поиск, боевик, приключение
120	Оппенгеймер	2023	Кристофер Нолан	докудрама, эпический фильм, историческая киноэпопея, историческая драма, психологическая драма, байопик, драма, исторический фильм
121	Метрополис	1927	Фриц Ланг	антиутопия, эпический фильм, научно-фантастическая киноэпопея, стимпанк, драма, научная фантастика
122	Большой куш	2000	Гай Ричи	капер-фильм[англ.], чёрная комедия, гангстерский фильм, кинокомедия, детектив
123	1917	2019	Сэм Мендес	эпический фильм, историческая драма, киноэпопея о войне, боевик, драма, военный фильм
124	Секреты Лос-Анджелеса	1997	Кёртис Хэнсон	фильм о теории заговора, полицейская драма, крутой детектив, историческая драма, полицейский процедурал, мистический триллер, фильм про расследование, детектив, драма, фильм-тайна
125	Похитители велосипедов	1948	Витторио де Сика	фильм-трагедия, драма
126	Бункер	2004	Оливер Хиршбигель	докудрама, политическая драма, фильм-трагедия, байопик, драма, исторический фильм, военный фильм
127	Дангал	2016	Нитеш Тивари[англ.]	боевик, байопик, драма, фильм о спорте
128	Волк с Уолл-стрит	2013	Мартин Скорсезе	чёрная комедия, докудрама, эпический фильм, сатирический фильм, тру-крайм, байопик, кинокомедия, детектив, драма, финансовая драма
129	Гамильтон	2020	Томас Кейл[англ.]	эпический фильм, байопик, драма, исторический фильм, мюзикл
130	Таксист	1976	Мартин Скорсезе	психологическая драма, детектив, драма
131	Зелёная книга	2018	Питер Фаррелли	докудрама, историческая драма, фильм о дорожном приключении, байопик, кинокомедия, драма, музыкальный фильм
132	Бэтмен: Начало	2005	Кристофер Нолан	эпический боевик, эпический фильм, супергеройский фильм, фильм-трагедия, боевик, драма
133	На несколько долларов больше	1965	Серджо Леоне	фильм о войне-одиночке, спагетти-вестерн, драма, вестерн
134	Шоу Трумана	1998	Питер Уир	чёрная комедия, остросюжетная комедия, психологическая драма, сатирический фильм, фильм про шоу-бизнес, кинокомедия, драма
135	Нюрнбергский процесс	1961	Стэнли Крамер	юридическая драма, драма, военный фильм
136	В джазе только девушки	1959	Билли Уайлдер	приятельская комедия, фарс, эксцентрическая комедия, кинокомедия, музыкальный фильм, романтический фильм
137	Остров проклятых	2010	Мартин Скорсезе	психологический триллер, мистический триллер, драма, фильм-тайна, триллер
138	Малыш	1921	Чарли Чаплин	приятельская комедия, буффонада, кинокомедия, драма, семейный фильм
139	Отец	2020	Фориан Зеллер	психологическая драма, драма, фильм-тайна
