
Место	Название фильма	Год	Режиссёр	Жанры по версии IMDb
211	Логан	2017	Джеймс Мэнголд	антиутопия, фильм о дорожном приключении, супергеройский фильм, боевик, драма, научная фантастика, триллер
212	Рокки	1976	Джон Эвилдсен	фильм про бокс, драма, фильм о спорте
213	Я всё ещё здесь	2024	Вальтер Саллес	докудрама, историческая драма, политическая драма, байопик, драма, исторический фильм
214	Третий человек	1949	Кэрол Рид	нуар, крутой детектив, фильм про расследование, фильм-тайна, триллер
215	Токийская повесть	1953	Ясудзиро Одзу	психологическая драма, драма
216	В центре внимания	2015	Томас Маккарти	докудрама, юридическая драма, историческая драма, тру-крайм, драма на рабочем месте, байопик, детектив, драма
217	Большой Лебовски	1998	Братья Коэн	приятельская комедия, фильм о наркопреступлении, сатирический фильм, кинокомедия-стоунер, кинокомедия, детектив
218	Терминатор	1984	Джеймс Кэмерон	фильм об искусственном интеллекте, киберпанк, антиутопия, фильм о путешествиях во времени, фильм о городском приключении, боевик, приключение, научная фантастика
219	Махарадж[англ.]	2024	Нитилан Сваминатан[англ.]	боевик, детектив, драма, триллер
220	Седьмая печать	1957	Ингмар Бергман	психологическая драма, драма, фэнтезийный фильм
221	Пираты Карибского моря: Проклятие «Чёрной жемчужины»	2003	Гор Вербински	фильм о морском приключении, мистический фильм, фильм плаща и шпаги, пеплум, боевик, приключение, фэнтезийный фильм
222	Комната	2015	Ленни Абрахамсон	психологическая драма, драма, триллер
223	Ненависть	1995	Матьё Кассовиц	гангстерский фильм, психологическая драма, детектив, драма
224	Да прольётся свет[англ.]	2021	Т. Дж. Гнанавел[англ.]	юридическая драма, детектив, драма
225	Отель Руанда	2004	Терри Джордж[англ.]	докудрама, байопик, драма, исторический фильм, военный фильм
226	Взвод	1986	Оливер Стоун	драма, военный фильм
227	Перед закатом	2004	Ричард Линклейтер	драма, романтический фильм
228	Лучшие годы нашей жизни	1946	Уильям Уайлер	эпический фильм, оптимистичный романтический фильм, драма, романтический фильм, военный фильм
229	Изгоняющий дьявола	1973	Уильям Фридкин	боди-хоррор, фильм ужасов о сверхъестественном, хоррор
230	Страсти Жанны д’Арк	1928	Карл Теодор Дрейер	юридическая драма, историческая драма, психологическая драма, фильм-трагедия, байопик, драма, исторический фильм
231	Волшебник страны Оз	1939	Виктор Флеминг	приключенческая киноэпопея, классический мюзикл, фильм-сказка, фэнтезийная киноэпопея, фильм про поиск, приключение, семейный фильм, фэнтезийный фильм, мюзикл
232	Звуки музыки	1965	Роберт Эрл Уайз	классический мюзикл, байопик, драма, семейный фильм, мюзикл, романтический фильм
233	Суперсемейка	2004	Брэд Бёрд	компьютерная анимация, супергеройский фильм, фильм о городском приключении, боевик, приключение, мультфильм, семейный фильм
234	Хатико: Самый верный друг	2009	Лассе Халльстрём	фильм о приключениях животных, байопик, драма, семейный фильм
235	Гонка	2013	Рон Ховард	докудрама, фильм о мотоспорте, историческая драма, байопик, драма, фильм о спорте
236	Останься со мной	1986	Роб Райнер	фильм про взросление, приключение, кинокомедия, драма
237	Мой отец и мой сын	2005	Чаган Ырмак	драма, семейный фильм
238	Телесеть	1975	Сидни Люмет	чёрная комедия, драма на рабочем месте, драма
239	Стальной гигант	1999	Брэд Бёрд	фильм о вторжении пришельцев, фильм об искусственном интеллекте, рисованная анимация, остросюжетная комедия, фильм о кайдзю, фантастический фильм о космосе, боевик, приключение, мультфильм, кинокомедия
240	Служанка	2016	Пак Чхан Ук	чёрная мелодрама, эротический триллер, психологический триллер, эротический фильм, драма, романтический фильм, триллер
241	Грешники	2025	Райан Куглер	историческая драма, фильм ужасов о сверхъестественном, фильм о вампирах, боевик, драма, хоррор, триллер
242	Быть или не быть	1942	Эрнст Любич	эксцентрическая комедия, кинокомедия, романтический фильм, военный фильм
243	Битва за Алжир	1966	Джилло Понтекорво	докудрама, политическая драма, драма, военный фильм
244	Форма голоса	2016	Наоко Ямада	аниме, фильм про взросление, психологическая драма, сёнэн, ломтик жизни, мультфильм, драма
245	Гроздья гнева	1940	Джон Форд	драма
246	В диких условиях	2007	Шон Пенн	фильм про взросление, докудрама, фильм о дорожном приключении, фильм-выживание, фильм-трагедия, приключение, байопик, драма
247	День сурка	1993	Гарольд Рэмис	оптимистичный романтический фильм, остросюжетная комедия, комедия о празднике, романтический фильм о празднике, романтическая комедия, кинокомедия, драма, фэнтезийный фильм, романтический фильм
248	Прислуга	2011	Тейт Тейлор	историческая драма, драма
249	Сука любовь	2000	Алехандро Гонсалес Иньярриту	фильм-трагедия, драма, триллер
250	Ребекка	1940	Альфред Хичкок	чёрная мелодрама, психологический триллер, драма, фильм-тайна, романтический фильм, триллер

